arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo,cluster
2tjTeG9ZhTY,5.572791666666666,48000.0,0.02990116,0.4664876,0.0640985146164894,46.57989,0.0242217375717017,0.0,0.0,9.0
6jHeW6hGqTM,45.685270833333334,48000.0,0.034371205,0.61276793,0.0560917146503925,29.373203,0.0259064953376721,1.0,0.021888892891718838,70.0
3AVEJ0LvZ8Y,40.44916666666666,48000.0,0.18222119,1.108198,0.164430171251297,27.92657,0.0543763542627867,0.0,0.0,36.0
IJ_upj2T0xQ,8.916479166666667,48000.0,0.1679372,1.1359186,0.1478426307439804,33.247322,0.0895131672398325,0.0,0.0,58.0
c1MLGPtn2MA,22.209895833333334,48000.0,0.20617951,1.0571797,0.1950278878211975,44.15405,0.044199181243999,0.0,0.0,41.0
nQaOpR8ZYFU,71.84254166666666,48000.0,0.014877291,0.2946559,0.0504903905093669,25.249626,0.0451097646971496,0.0,0.0,0.0
VLno1jwi4-8,20.245333333333335,48000.0,0.12027726,0.767991,0.1566128581762313,45.212395,0.065444086525803,0.0,0.0,18.0
blRxU_CnnC0,15.000979166666667,48000.0,0.09770708,0.64774466,0.1508419662714004,26.463346,0.0489787391169154,0.0,0.0,55.0
pcnx-bpXBo4,68.7426875,48000.0,0.14880039,1.0903614,0.1364688724279403,62.427475,0.0340258921644685,0.0,0.0,61.0
RqtNqoLspMY,46.25416666666667,48000.0,0.20502068,1.1521764,0.1779420971870422,36.697113,0.0341704555280147,0.0,0.0,4.0
rsKMknV4YNY,13.2934375,48000.0,0.10183265,1.0116144,0.1006634980440139,58.356255,0.0498802594977947,0.0,0.0,28.0
OwBxGug9ZEc,20.712979166666667,48000.0,0.18344872,1.0688791,0.1716271787881851,36.945778,0.057687839936277,0.0,0.0,41.0
UU6eDtjvPuQ,14.0713125,48000.0,0.13258518,1.0613532,0.1249208822846412,64.74731,0.0220558860085227,0.0,0.0,61.0
ZF7sGl-5anY,62.49697916666667,48000.0,0.11508202,1.032161,0.1114961877465248,25.72257,0.0335999993334044,11.0,0.17600850707784207,35.0
neNA_S-hPsc,9.728,48000.0,0.1473966,1.1394143,0.1293617188930511,54.680954,0.0696840986103504,0.0,0.0,28.0
6ueuLBpobMw,14.721458333333333,48000.0,0.17784359,0.7547645,0.2356279194355011,34.81851,0.0627375995655322,0.0,0.0,41.0
WdosslqkWJQ,18.715291666666666,48000.0,0.04295135,0.46391317,0.0925848856568336,28.924742,0.0284405048076923,0.0,0.0,9.0
4_WE4TsU1ys,10.517333333333331,48000.0,0.27378953,1.2409687,0.2206256538629531,38.900284,0.0505665447695035,0.0,0.0,15.0
h8gtvfMaT10,10.716020833333332,48000.0,0.09834095,0.84933794,0.1157854199409484,50.149025,0.061172166511194,0.0,0.0,28.0
Rg_eq-bSgDQ,7.7786875,48000.0,0.10663456,0.5844593,0.182449921965599,43.206272,0.0235532159674657,0.0,0.0,26.0
6etl5rawJls,17.426583333333333,48000.0,0.03020589,0.95738095,0.031550545245409,20.575844,0.0232262302057833,0.0,0.0,48.0
71ERWt7oM0Q,15.000979166666667,48000.0,0.17456286,1.0413041,0.1676386892795562,39.74974,0.0492764969793887,0.0,0.0,4.0
MUV6xJX2Dxo,74.71020833333333,48000.0,0.2741036,1.1939764,0.229572057723999,49.014122,0.041811303867773,0.0,0.0,57.0
qYYRlyDMjrE,73.45633333333333,48000.0,0.0764662,0.95145345,0.0803677812218666,27.689564,0.0395922571511543,6.0,0.08168118020229706,53.0
r9uUJfXjBnM,14.373166666666666,48000.0,0.06876091,0.5248515,0.1310102194547653,32.579887,0.0523710618740727,0.0,0.0,22.0
w22lrhGXy_I,26.273395833333332,48000.0,0.14842215,1.1298223,0.1313676983118057,28.604752,0.0448180359679383,0.0,0.0,36.0
8fHgmtOXwRA,37.17516666666667,48000.0,0.18222815,1.0575478,0.1723119765520095,57.57305,0.0445034882834911,0.0,0.0,4.0
6nDLpZiAFi4,5.0851875,48000.0,0.072578155,0.462919,0.1567836999893188,106.71384,0.0242093324161425,0.0,0.0,31.0
