n_neighbors,n_components,min_dist,min_cluster_size,min_samples,cluster_eps,embedding_model,coherence,diversity,silhouette
10,10,0.5,150,5,0.1,paraphrase-MiniLM-L6-v2,0.46200836509665405,0.7833333333333333,0.4083954989910126
10,10,0.5,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.46784589206634863,0.875,0.4682301878929138
10,10,0.5,150,10,0.1,all-MiniLM-L6-v2,0.5000182550141289,0.775,0.5674099922180176
10,10,0.5,150,10,0.1,all-distilroberta-v1,0.47985162542680804,0.9,0.13337427377700806
10,10,0.5,150,10,0.1,paraphrase-MiniLM-L6-v2,0.47577552383801613,0.8333333333333334,0.5971243977546692
10,10,0.5,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.42431296220451176,0.975,0.3080545961856842
10,10,0.5,150,100,0.1,all-MiniLM-L6-v2,0.4669681998375372,0.8166666666666667,0.6180552840232849
10,10,0.5,150,100,0.1,all-distilroberta-v1,0.42353731168927605,0.825,0.5198115706443787
10,10,0.5,150,100,0.1,paraphrase-MiniLM-L6-v2,0.48004363228706803,0.825,0.668481171131134
10,10,0.5,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.5003538258982856,0.925,0.6744807362556458
20,5,0.0,50,5,0.1,all-MiniLM-L6-v2,0.40346577643207165,0.7875,0.14685577154159546
20,5,0.0,50,5,0.1,all-distilroberta-v1,0.43758894894338446,0.8833333333333333,-0.1311992108821869
20,5,0.0,50,5,0.1,paraphrase-MiniLM-L6-v2,0.4287486039492791,0.7555555555555555,0.3981301486492157
20,5,0.0,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.5414601278395339,0.809375,0.39489540457725525
20,5,0.0,50,10,0.1,all-MiniLM-L6-v2,0.47294952153045344,0.7866666666666666,0.4036208689212799
20,5,0.0,50,10,0.1,all-distilroberta-v1,0.4929814450531524,0.8833333333333333,0.4521867632865906
20,5,0.0,50,10,0.1,paraphrase-MiniLM-L6-v2,0.45516335025911486,0.7,-0.06380066275596619
20,5,0.0,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.5706167083923807,0.7846153846153846,0.5375402569770813
20,5,0.0,50,100,0.1,all-MiniLM-L6-v2,0.4420973419896139,0.825,0.2047426551580429
20,5,0.0,50,100,0.1,all-distilroberta-v1,0.5884934999355476,0.8357142857142857,0.64387047290802
20,5,0.0,50,100,0.1,paraphrase-MiniLM-L6-v2,0.44008606895346336,0.7333333333333333,0.1708630919456482
20,5,0.0,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.6317997387400589,0.8,0.22105379402637482
20,5,0.0,100,5,0.1,all-MiniLM-L6-v2,0.4203674160415975,0.7,0.1726771593093872
20,5,0.0,100,5,0.1,all-distilroberta-v1,0.44597467150396675,0.875,0.16457641124725342
20,5,0.0,100,5,0.1,paraphrase-MiniLM-L6-v2,0.43279691282432414,0.7333333333333333,0.17474164068698883
20,5,0.0,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.43546520035565406,1.0,-0.10080155730247498
20,5,0.0,100,10,0.1,all-MiniLM-L6-v2,0.43340731123666737,0.75,0.1752733737230301
20,5,0.0,100,10,0.1,all-distilroberta-v1,0.5546295294620829,0.8571428571428571,0.6178069114685059
20,5,0.0,100,10,0.1,paraphrase-MiniLM-L6-v2,0.43767453889743146,0.7166666666666667,0.17649024724960327
20,5,0.0,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5787796321386421,0.7545454545454545,0.5704810619354248
20,5,0.0,100,100,0.1,all-MiniLM-L6-v2,0.4420973419896139,0.825,0.2047426551580429
20,5,0.0,100,100,0.1,all-distilroberta-v1,0.5884934999355476,0.8357142857142857,0.64387047290802
20,5,0.0,100,100,0.1,paraphrase-MiniLM-L6-v2,0.457856858628421,0.6416666666666667,0.49843329191207886
20,5,0.0,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.6360396539833064,0.95,0.3336993157863617
20,5,0.0,150,5,0.1,all-MiniLM-L6-v2,0.4741044480793034,0.875,0.23724685609340668
20,5,0.0,150,5,0.1,all-distilroberta-v1,0.44597467150396675,0.875,0.16457641124725342
20,5,0.0,150,5,0.1,paraphrase-MiniLM-L6-v2,0.41649334710020935,0.875,0.7517907023429871
20,5,0.0,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.43546520035565406,1.0,-0.10080155730247498
20,5,0.0,150,10,0.1,all-MiniLM-L6-v2,0.46542015671375403,0.875,0.23796117305755615
20,5,0.0,150,10,0.1,all-distilroberta-v1,0.5546295294620829,0.8571428571428571,0.6178069114685059
